Rank,Name,Count
1286,Miyah,25
1286,Romee,25
1286,Shyla,25
1286,Suraya,25
1286,Vaani,25
1286,Valeria,25
1311,Aiya,24
1311,Ajwa,24
1311,Anaiah,24
1311,Anaiyah,24
1311,Averie,24
1311,Ayaana,24
1311,Bella-Rae,24
1311,Briella,24
1311,Christine,24
1311,Cleopatra,24
1311,Dolores,24
1311,Ella-Grace,24
1311,Everleigh-Rose,24
1311,Faiza,24
1311,Farrah,24
1311,Freya-Rose,24
1311,Hurain,24
1311,Iliana,24
1311,Ivy-Leigh,24
1311,Jolie,24
1311,Katerina,24
1311,Kaylee,24
1311,Kennedy,24
1311,Kimberley,24
1311,Marcelina,24
1311,Matilde,24
1311,Mayra,24
1311,Nailah,24
1311,Posy,24
1311,Reyah,24
1311,Rihanna,24
1311,Rio,24
1311,Rosalia,24
1311,Rylie,24
1311,Saarah,24
1311,Sally,24
1311,Seerat,24
1311,Suki,24
1311,Teagan,24
1311,Trinity,24
1351,Aariya,23
1351,Aditi,23
1351,Allie,23
1351,Aluna,23
1351,Ann,23
1351,Arrietty,23
1351,Asia,23
1351,Avah,23
1351,Barbara,23
1351,Bessie,23
1351,Beth,23
1351,Bibi,23
1351,Bodhi,23
1351,Chimamanda,23
1351,Darcie-Rose,23
1351,Dilara,23
1351,Eila,23
1351,Ella-Louise,23
1351,Ella-Rae,23
1351,Erina,23
1351,Evie-May,23
1351,Hallie-Rose,23
1351,Hareem,23
1351,Harper-Mae,23
1351,Indie-Rose,23
1351,Ishani,23
1351,Jamie,23
1351,Johanna,23
1351,Kathryn,23
1351,Kiyara,23
1351,Krisha,23
1351,Larissa,23
1351,Larosa,23
1351,Linda,23
1351,Lola-Mae,23
1351,Loretta,23
1351,Lyla-Rae,23
1351,Mahi,23
1351,Meher,23
1351,Mollie-Mae,23
1351,Momina,23
1351,Nadine,23
1351,Nur,23
1351,Nura,23
1351,Olivia-Mae,23
1351,Roux,23
1351,Ruby-Rae,23
1351,Star,23
1351,Sybil,23
1351,Uma,23
1351,Zia,23
1402,Aaliya,22
1402,Aayah,22
1402,Ada-Rose,22
1402,Adrianna,22
1402,Alison,22
1402,Alyana,22
1402,Ananya,22
1402,Anita,22
1402,Aseel,22
1402,Avleen,22
1402,Blessing,22
1402,Carina,22
1402,Cienna,22
1402,Coral,22
1402,Dolcie-Mae,22
1402,Eda,22
1402,Eleanora,22
1402,Eliora,22
1402,Esma,22
1402,Esmay,22
1402,Ester,22
1402,Etty,22
1402,Gwenllian,22
1402,Hala,22
1402,Hallie-Rae,22
1402,Haniyah,22
1402,Heaven,22
1402,Hira,22
1402,Izabelle,22
1402,Jacqueline,22
1402,Jagoda,22
1402,Japji,22
1402,Kacey,22
1402,Kelsey,22
1402,Lidia,22
1402,Luna-Mae,22
1402,Maahi,22
1402,Maheen,22
1402,Mallory,22
1402,Mariah,22
1402,Marianna,22
1402,Miraal,22
1402,Mireya,22
1402,Monika,22
1402,Patsy,22
1402,Peaches,22
1402,Rafaela,22
